Entity,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Hydro (% equivalent primary energy),Wind Capacity,Wind (% equivalent primary energy),Solar Capacity,Solar (% equivalent primary energy)
Africa,1965,5.7474947,,,0.0,13.905635,5.7474947,,0.0,,
Africa,1966,6.122062,,,0.0,15.510005,6.122062,,0.0,,
Africa,1967,6.325731,,,0.0,16.190636,6.325731,,0.0,,
Africa,1968,7.005293,,,0.0,18.938341,7.005293,,0.0,,
Africa,1969,7.9560876,,,0.0,22.100891,7.9560876,,0.0,,
Africa,1970,9.16206,,,0.0,27.630428,9.16206,,0.0,,
Africa,1971,8.131308,0.164,0.0,0.0,26.01339,8.076341,,0.0,,0.0
Africa,1972,8.7477665,0.165,0.0,0.0,29.633196,8.695498,,0.0,,0.0
Africa,1973,8.542279,0.17,0.0,0.0,31.345707,8.492557,,0.0,,0.0
Africa,1974,9.268067,0.175,0.0,0.0,35.667076,9.219236,,0.0,,0.0
Africa,1975,9.238402,0.172,0.0,0.0,37.717968,9.193146,,0.0,,0.0
Africa,1976,9.416414,0.185,0.0,0.0,41.797634,9.3716345,,0.0,,0.0
Africa,1977,9.803299,0.189,0.0,0.0,45.92877,9.759941,,0.0,,0.0
Africa,1978,9.519681,0.195,0.0,0.0,46.306942,9.476601,,0.0,,0.0
Africa,1979,9.350928,0.201,0.0,0.0,49.56523,9.31017,,0.0,,0.0
Africa,1980,8.486036,0.207,0.0,0.0,48.311787,8.446964,,0.0,,0.0
Africa,1981,7.859502,0.218,0.0,0.0,50.192905,7.8228226,,0.0,,0.0
Africa,1982,7.378185,0.236,0.0,0.0,50.206238,7.3409333,,0.0,,0.0
Africa,1983,6.456583,0.23,0.0,0.0,45.24716,6.421346,,0.0,,0.0
Africa,1984,6.1593933,0.234,0.0,0.0,44.489975,6.124618,,0.0,,0.0
Africa,1985,6.580027,0.269,0.0,0.0,49.449684,6.5416107,,0.0,,0.0
Africa,1986,6.7038097,0.659,0.0,0.0,51.14537,6.6174736,,0.0,,0.0
Africa,1987,6.2346725,0.658,0.0,0.0,49.05646,6.1510053,,0.0,,0.0
Africa,1988,6.3508363,0.626,0.0,0.0,53.593452,6.2762327,,0.0,,0.0
Africa,1989,6.648682,0.617,0.0,0.0,56.27621,6.575383,,0.0,,0.0
Africa,1990,6.568428,0.796,0.0,0.0,57.254658,6.4756594,,0.0,,0.0
Africa,1991,6.9617434,0.812,0.0,0.0,60.65149,6.8665357,,0.0,,0.0
Africa,1992,6.5524845,0.84225,0.0,0.0,57.86029,6.454692,,0.0,,0.0
Africa,1993,6.4210205,0.9377,0.0,0.002,56.682507,6.311711,,0.00022280523,,0.0
Africa,1994,6.2905235,0.835,0.0,0.0054,57.59605,6.1963334,,0.00058110914,,0.0
Africa,1995,6.2837534,1.0187,0.0,0.0063,59.76888,6.174329,,0.0006511559,,0.0
Africa,1996,6.4112005,1.258093,0.0,0.0071,62.31646,6.2783985,,0.00071550993,0.0011124251999999,0.0
Africa,1997,6.44885,1.3866404,0.0,0.0072,63.852497,6.3046694,0.006,0.0007104949,0.0031372757,0.0
Africa,1998,6.657183,1.7125492,0.0,0.0076,66.654884,6.4815254,0.01,0.0007389949,0.0051621259999999,0.0
Africa,1999,6.8363028,1.6961248,0.0,0.0198,70.68426,6.6663065,0.064,0.0018670735,0.008199402,0.0
Africa,2000,7.1749406,2.2690632,0.011941,0.1755,75.25581,6.936677,0.13905,0.01617664,0.010927,0.0011007969
Africa,2001,7.4141307,2.3353527,0.01496,0.41558,80.86911,7.1568594,0.13905,0.036778532,0.013028999,0.001324146
Africa,2002,7.6051617,2.2864,0.016799714,0.44358402,85.02647,7.35356,0.14431,0.03836359,0.015243,0.0014531702
Africa,2003,7.0411763,2.6224,0.020059295,0.535599,82.57461,6.7681456,0.15361,0.04389952,0.018019001,0.0016437006
Africa,2004,6.9333735,2.9788496,0.02456688,0.7682805,87.21947,6.633235,0.23613,0.058429442,0.0219959999999999,0.0018682962
Africa,2005,6.998331,3.0096693,0.029383464,0.7803821,88.83774,6.696118,0.2402,0.058821063,0.025965,0.002214702
Africa,2006,7.123233,3.7704048,0.03791205,0.8525656,92.049355,6.759675,0.327925,0.062608436,0.034268,0.0027837367
Africa,2007,7.0094085,3.1420484,0.050479364,1.0162233,95.19856,6.696656,0.47012,0.0714853,0.046656002,0.0035508324
Africa,2008,6.716138,3.2673957,0.07265389,1.3117782,96.96721,6.39227,0.55532,0.086475015,0.063372997,0.004789645
Africa,2009,6.7757106,3.5627222,0.09582155,1.5892309,99.56114,6.419966,0.74237,0.10247785,0.106845,0.006178744
Africa,2010,7.1018925,3.764553,0.21605176,2.2845824,107.69848,6.694661,0.864797,0.14201224,0.193842,0.013429861
Africa,2011,7.2255993,3.8587685,0.6020893,2.386504,110.75051,6.7864485,0.995002,0.14623758,0.2663879999999999,0.03689415
Africa,2012,6.989345,4.0424066,0.99265915,2.5156302,111.22693,6.525726,1.127604,0.14759299,0.345954,0.05823969
Africa,2013,7.1956143,4.433249,0.7875202,3.5934472,117.65244,6.6739335,1.741834,0.20384131,0.6669729999999999,0.044672735
Africa,2014,7.509692,5.462047,1.9041501,5.060073,124.08204,6.809334,2.399398,0.27768502,1.57312,0.10449535
Africa,2015,7.464454,7.1696815,3.2586064,8.9106865,120.4148,6.4173684,3.320268,0.47488478,1.930761,0.1736639
Africa,2016,7.307821,7.231852,5.3840914,11.176371,117.42635,6.06169,3.826414,0.57693774,2.988417,0.2779333
Africa,2017,7.7397423,7.6260357,7.7734146,12.457454,126.34168,6.3259087,4.5792627,0.6237429,4.711063,0.3892137
Africa,2018,8.169643,8.17267,10.053543,14.769322,134.60007,6.5469427,5.4715527,0.7183791,7.210268,0.48900396
Africa,2019,8.5593,8.262966,12.894289,19.331635,139.4176,6.617261,5.528753,0.91754866,8.415319,0.6120093
Africa,2020,9.624269,8.066416,16.058805,21.302898,146.37308,7.327819,6.4846533,1.0664787,9.703859,0.8039458
Africa,2021,9.555876,8.026317,16.515236,24.41597,153.4187,7.227977,7.334153000000001,1.1503035,10.30226,0.77807826
China,1965,4.253407,0.0,0.0,0.0,22.097,4.253407,,0.0,,0.0
China,1966,3.9831228,0.0,0.0,0.0,22.485907,3.9831228,,0.0,,0.0
China,1967,3.818398,0.0,0.0,0.0,19.383488,3.818398,,0.0,,0.0
China,1968,4.458871,0.0,0.0,0.0,22.870396,4.458871,,0.0,,0.0
China,1969,3.7274022,0.0,0.0,0.0,23.259302,3.7274022,,0.0,,0.0
China,1970,3.0095923,0.0,0.0,0.0,24.037117,3.0095923,,0.0,,0.0
China,1971,3.0704048,0.0,0.0,0.0,29.075233,3.0704048,,0.0,,0.0
China,1972,3.2275975,0.0,0.0,0.0,32.951046,3.2275975,,0.0,,0.0
China,1973,3.417015,0.0,0.0,0.0,36.82686,3.417015,,0.0,,0.0
China,1974,3.7493546,0.0,0.0,0.0,41.674942,3.7493546,,0.0,,0.0
China,1975,3.5038238,0.0,0.0,0.0,43.610638,3.5038238,,0.0,,0.0
China,1976,3.3725684,0.0,0.0,0.0,44.194,3.3725684,,0.0,,0.0
China,1977,3.228714,0.0,0.0,0.0,46.134117,3.228714,,0.0,,0.0
China,1978,2.7594638,0.0,0.0,0.0,43.22615,2.7594638,,0.0,,0.0
China,1979,3.0088992,0.0,0.0,0.0,48.555946,3.0088992,,0.0,,0.0
China,1980,3.5661976,0.0,0.0,0.0,58.221176,3.5661976,,0.0,,0.0
China,1981,4.066497,0.0,0.0,0.0,65.51318,4.066497,,0.0,,0.0
