Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),Renewables (% electricity),Hydro (% equivalent primary energy),Hydro (% electricity),Wind Capacity,Wind (% equivalent primary energy),Wind (% electricity),Solar Capacity,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total,Geothermal Capacity
China,CHN,1965,4.253407,0.0,0.0,0.0,22.097,0.0,22.097,0.0,0.0,,4.253407,,,0.0,,,0.0,,,
China,CHN,1966,3.9831228,0.0,0.0,0.0,22.485907,0.0,22.485907,0.0,0.0,,3.9831228,,,0.0,,,0.0,,,
China,CHN,1967,3.818398,0.0,0.0,0.0,19.383488,0.0,19.383488,0.0,0.0,,3.818398,,,0.0,,,0.0,,,
China,CHN,1968,4.458871,0.0,0.0,0.0,22.870396,0.0,22.870396,0.0,0.0,,4.458871,,,0.0,,,0.0,,,
China,CHN,1969,3.7274022,0.0,0.0,0.0,23.259302,0.0,23.259302,0.0,0.0,,3.7274022,,,0.0,,,0.0,,,
China,CHN,1970,3.0095923,0.0,0.0,0.0,24.037117,0.0,24.037117,0.0,0.0,,3.0095923,,,0.0,,,0.0,,,
China,CHN,1971,3.0704048,0.0,0.0,0.0,29.075233,0.0,29.075233,0.0,0.0,,3.0704048,,,0.0,,,0.0,,,
China,CHN,1972,3.2275975,0.0,0.0,0.0,32.951046,0.0,32.951046,0.0,0.0,,3.2275975,,,0.0,,,0.0,,,
China,CHN,1973,3.417015,0.0,0.0,0.0,36.82686,0.0,36.82686,0.0,0.0,,3.417015,,,0.0,,,0.0,,,
China,CHN,1974,3.7493546,0.0,0.0,0.0,41.674942,0.0,41.674942,0.0,0.0,,3.7493546,,,0.0,,,0.0,,,
China,CHN,1975,3.5038238,0.0,0.0,0.0,43.610638,0.0,43.610638,0.0,0.0,,3.5038238,,,0.0,,,0.0,,,
China,CHN,1976,3.3725684,0.0,0.0,0.0,44.194,0.0,44.194,0.0,0.0,,3.3725684,,,0.0,,,0.0,,,
China,CHN,1977,3.228714,0.0,0.0,0.0,46.134117,0.0,46.134117,0.0,0.0,,3.228714,,,0.0,,,0.0,,,
China,CHN,1978,2.7594638,0.0,0.0,0.0,43.22615,0.0,43.22615,0.0,0.0,,2.7594638,,,0.0,,,0.0,,,
China,CHN,1979,3.0088992,0.0,0.0,0.0,48.555946,0.0,48.555946,0.0,0.0,,3.0088992,,,0.0,,,0.0,,,
China,CHN,1980,3.5661976,0.0,0.0,0.0,58.221176,0.0,58.221176,0.0,0.0,,3.5661976,,,0.0,,,0.0,,,
