Country Name,Country Code,Year,Real GDP (2015 $)
China,CHN,1960,161023000000.0
France,FRA,1960,510928000000.0
Germany,DEU,1960,917973000000.0
Italy,ITA,1960,488503000000.0
Mexico,MEX,1960,152253000000.0
United States,USA,1960,3414530000000.0
China,CHN,1961,117112000000.0
France,FRA,1961,536201000000.0
Germany,DEU,1961,957432000000.0
Italy,ITA,1961,528596000000.0
Mexico,MEX,1961,159865000000.0
United States,USA,1961,3493060000000.0
China,CHN,1962,110577000000.0
France,FRA,1962,572964000000.0
Germany,DEU,1962,1001700000000.0
Italy,ITA,1962,561388000000.0
Mexico,MEX,1962,167322000000.0
United States,USA,1962,3706140000000.0
China,CHN,1963,121967000000.0
France,FRA,1963,607934000000.0
Germany,DEU,1963,1029100000000.0
Italy,ITA,1963,592880000000.0
Mexico,MEX,1963,180887000000.0
United States,USA,1963,3869210000000.0
China,CHN,1964,144140000000.0
France,FRA,1964,647953000000.0
Germany,DEU,1964,1097420000000.0
Italy,ITA,1964,609467000000.0
Mexico,MEX,1964,202422000000.0
United States,USA,1964,4093630000000.0
China,CHN,1965,168572000000.0
France,FRA,1965,679306000000.0
Germany,DEU,1965,1154980000000.0
Italy,ITA,1965,629385000000.0
Mexico,MEX,1965,216794000000.0
United States,USA,1965,4355620000000.0
China,CHN,1966,186525000000.0
France,FRA,1966,714382000000.0
Germany,DEU,1966,1187460000000.0
Italy,ITA,1966,667052000000.0
Mexico,MEX,1966,230010000000.0
United States,USA,1966,4638730000000.0
China,CHN,1967,175762000000.0
France,FRA,1967,748685000000.0
Germany,DEU,1967,1183530000000.0
Italy,ITA,1967,714937000000.0
Mexico,MEX,1967,243477000000.0
United States,USA,1967,4754700000000.0
China,CHN,1968,168556000000.0
France,FRA,1968,782705000000.0
Germany,DEU,1968,1250630000000.0
Italy,ITA,1968,761727000000.0
Mexico,MEX,1968,266421000000.0
United States,USA,1968,4982930000000.0
China,CHN,1969,197110000000.0
France,FRA,1969,838228000000.0
Germany,DEU,1969,1343400000000.0
Italy,ITA,1969,808177000000.0
Mexico,MEX,1969,275528000000.0
United States,USA,1969,5137400000000.0
China,CHN,1970,235152000000.0
France,FRA,1970,890199000000.0
Germany,DEU,1970,1411950000000.0
Italy,ITA,1970,851096000000.0
Mexico,MEX,1970,293445000000.0
United States,USA,1970,5148530000000.0
China,CHN,1971,251754000000.0
France,FRA,1971,937322000000.0
Germany,DEU,1971,1456190000000.0
Italy,ITA,1971,866570000000.0
Mexico,MEX,1971,304485000000.0
United States,USA,1971,5318050000000.0
China,CHN,1972,261345000000.0
France,FRA,1972,979633000000.0
Germany,DEU,1972,1518810000000.0
Italy,ITA,1972,898550000000.0
Mexico,MEX,1972,329541000000.0
United States,USA,1972,5597540000000.0
China,CHN,1973,281626000000.0
France,FRA,1973,1040320000000.0
Germany,DEU,1973,1591370000000.0
Italy,ITA,1973,962580000000.0
Mexico,MEX,1973,355447000000.0
United States,USA,1973,5913560000000.0
China,CHN,1974,288131000000.0
France,FRA,1974,1086240000000.0
Germany,DEU,1974,1605530000000.0
Italy,ITA,1974,1015520000000.0
Mexico,MEX,1974,375980000000.0
United States,USA,1974,5881600000000.0
China,CHN,1975,313256000000.0
France,FRA,1975,1075970000000.0
Germany,DEU,1975,1591620000000.0
Italy,ITA,1975,994297000000.0
Mexico,MEX,1975,397578000000.0
United States,USA,1975,5869500000000.0
China,CHN,1976,308338000000.0
France,FRA,1976,1122640000000.0
Germany,DEU,1976,1670390000000.0
Italy,ITA,1976,1065140000000.0
Mexico,MEX,1976,415141000000.0
United States,USA,1976,6185750000000.0
China,CHN,1977,331679000000.0
France,FRA,1977,1162540000000.0
Germany,DEU,1977,1726300000000.0
Italy,ITA,1977,1092420000000.0
Mexico,MEX,1977,429217000000.0
United States,USA,1977,6471790000000.0
China,CHN,1978,369245000000.0
France,FRA,1978,1208460000000.0
Germany,DEU,1978,1778240000000.0
Italy,ITA,1978,1127810000000.0
Mexico,MEX,1978,467662000000.0
United States,USA,1978,6830020000000.0
China,CHN,1979,397276000000.0
France,FRA,1979,1253110000000.0
Germany,DEU,1979,1852040000000.0
Italy,ITA,1979,1195020000000.0
Mexico,MEX,1979,513016000000.0
United States,USA,1979,7046260000000.0
China,CHN,1980,428399000000.0
France,FRA,1980,1274120000000.0
Germany,DEU,1980,1878130000000.0
Italy,ITA,1980,1236010000000.0
Mexico,MEX,1980,557939000000.0
United States,USA,1980,7028170000000.0
China,CHN,1981,450302000000.0
France,FRA,1981,1289260000000.0
Germany,DEU,1981,1888070000000.0
Italy,ITA,1981,1246450000000.0
Mexico,MEX,1981,611422000000.0
United States,USA,1981,7206520000000.0
China,CHN,1982,491096000000.0
France,FRA,1982,1320750000000.0
Germany,DEU,1982,1880620000000.0
Italy,ITA,1982,1251600000000.0
Mexico,MEX,1982,611119000000.0
United States,USA,1982,7076580000000.0
China,CHN,1983,543778000000.0
France,FRA,1983,1337420000000.0
Germany,DEU,1983,1910190000000.0
Italy,ITA,1983,1266230000000.0
Mexico,MEX,1983,582860000000.0
United States,USA,1983,7400960000000.0
China,CHN,1984,626609000000.0
France,FRA,1984,1358950000000.0
Germany,DEU,1984,1964110000000.0
Italy,ITA,1984,1307080000000.0
Mexico,MEX,1984,603339000000.0
United States,USA,1984,7936530000000.0
China,CHN,1985,710797000000.0
France,FRA,1985,1380270000000.0
Germany,DEU,1985,2009830000000.0
Italy,ITA,1985,1343650000000.0
Mexico,MEX,1985,614918000000.0
United States,USA,1985,8267450000000.0
China,CHN,1986,774308000000.0
France,FRA,1986,1413250000000.0
Germany,DEU,1986,2055810000000.0
Italy,ITA,1986,1382080000000.0
Mexico,MEX,1986,590752000000.0
United States,USA,1986,8553720000000.0
China,CHN,1987,864346000000.0
France,FRA,1987,1449330000000.0
Germany,DEU,1987,2084630000000.0
Italy,ITA,1987,1426200000000.0
Mexico,MEX,1987,602941000000.0
United States,USA,1987,8849220000000.0
China,CHN,1988,961348000000.0
